aunt 姨母
brother 兄
cousin 堂兄弟
couple 夫妇
dad 爸爸
daughter 女儿
family 家
father 爸爸
grandchild 孙子/女
granddaughter 孙女
grandfather 祖父
grandma 奶奶
grandmother 祖母
grandpa 爷爷
grandparent 祖父母
grandson 孙子
granny 老奶奶
husband 丈夫
Mom 妈妈
mother 母亲
parent 父母亲
relation 关系
sister 姐
son 儿子
uncle 叔
wife 妻子
adult 成年人
Asian 亚洲人
baby 婴儿
boy 男孩
child 孩子
classmate 同班同学
elder 长者
enemy 敌人
European 欧洲人
fan 迷
foreigner 外国人
gentleman 绅士
girl 女孩
friend 朋友
god 神
guest 客人
hero 英雄
human 人类
kid 小孩
lady 女士
madam 夫人
man 成年男人
member 成员
Miss 小姐
Mr. 先生
Mrs. 夫人
Ms. 女士
neighbor 邻居
nobody 渺小人物
officer 军官
owner 所有者
patient 病人
person 人
pioneer 先锋
passenger 乘客
people 人
person 人
prisoner 囚犯
public 公众
sir 先生
stranger 陌生人
teenager 青少年
tourist 游客
visitor 访问者
volunteer 志愿者
winner 获胜者
woman 妇女
boss 老板
captain 船长
chairman/woman 主席
coach 教练
cook 厨师
dentist 牙医
director 主管
doctor 医生
driver 驾驶员
engineer 工程师
farmer 农民
fisherman 渔民
guard 看守
king 国王
leader 领导者
manager 经理
monitor 班长
nurse 护士
officer 军官
pilot 飞行员
police 巡警
policeman 警察
postman 邮递员
president 总统
pupil 学生
queen 女王
scientist 科学家
servant 佣人
secretary 秘书
soldier 士兵
speaker 演讲人
student 学生
teacher 教师
worker 工人
basket 篮子
bed 床
box 盒子
bottle 瓶子
brush 刷子
chair 椅子
can 罐头
candle 蜡烛
clock 钟
cover 盖子
desk 书桌
drawer 抽屉
furniture 家具
handbag 手提包
iron 熨斗
key 钥匙
lamp 灯
lock 锁
mirror 镜子
photo 照片
picture 图片
rope 粗绳
rubbish 垃圾
safe 保险箱
shelf 架子
shower 淋浴
soap 肥皂
sofa 沙发
stick 木棍
table 桌子
thing 事
thread 线
toothbrush 牙刷
toothpaste 牙膏
towel 浴巾
umbrella 雨伞
watch 手表
camera 照相机
CD 光盘
CD-ROM 信息储存光盘
computer 电脑
DVD 数码影碟
fan 电扇
fridge 电冰箱
keyboard 键盘
lamp 灯
light 灯
machine 机器
phone 电话
radio 无线电
record 唱片
recorder 录音机
screen 屏幕
tape 磁带
TV 电视
VCD 影碟光盘
video 录象
bag 书包
ball 球
balloon 气球
card 纸牌
chess 棋
crayon 蜡笔
diary 日记
dictionary 字典
doll 玩偶
eraser 橡皮
gift 礼物
gun 枪
ink 墨水
kite 风筝
notebook 笔记簿
paper 纸
pen 钢笔
pencil 铅笔
postcard 明信片
ruler 尺
schoolbag 书包
stamp 邮票
tape 录音带
toy 玩具
tool 工具
